time,Oklahoma City,pts.away,score,pts.home,Detroit
5:05.0,E. Kanter makes 3-pt shot from 23 ft (assist by R. Westbrook),3,74-75,,
4:42.0,,,74-75,,K. Caldwell-Pope misses 2-pt shot from 16 ft
4:42.0,Defensive rebound by S. Adams,,74-75,,
4:31.0,R. Westbrook misses 2-pt shot from 16 ft,,74-75,,
4:30.0,,,74-75,,Defensive rebound by A. Drummond
4:14.0,,,74-77,2,M. Morris makes 2-pt shot from 16 ft
3:56.0,R. Foye misses 2-pt shot from 10 ft,,74-77,,
3:55.0,,,74-77,,Defensive rebound by A. Baynes
3:54.0,,,74-77,,Detroit full timeout
3:37.0,,,74-79,2,R. Jackson makes 2-pt shot at rim
3:11.0,R. Foye misses 3-pt shot from 25 ft,,74-79,,
3:11.0,Offensive rebound by E. Kanter,,74-79,,
3:04.0,R. Westbrook makes 3-pt shot from 26 ft,3,77-79,,
2:43.0,,,77-79,,A. Baynes misses 2-pt shot from 12 ft
2:42.0,,,77-79,,Offensive rebound by A. Drummond
2:42.0,,,77-79,,A. Drummond misses 2-pt shot from 3 ft
