time,LA Clippers,pts.away,score,pts.home,Denver
8:46.0,,,92-78,,Offensive rebound by Team
8:46.0,,,92-78,,D. Gallinari enters the game for M. Miller
8:40.0,,,92-78,,J. Nelson misses 2-pt shot from 16 ft
8:39.0,,,92-78,,Offensive rebound by R. Foye
8:35.0,,,92-78,,J. Nelson misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by J. Smith,,92-78,,
8:15.0,J. Crawford misses 2-pt shot from 12 ft,,92-78,,
8:14.0,,,92-78,,Defensive rebound by N. Jokic
8:04.0,,,92-81,3,G. Harris makes 3-pt shot from 24 ft (assist by R. Foye)
7:39.0,P. Pierce makes 2-pt shot from 17 ft,2,94-81,,
7:23.0,,,94-84,3,R. Foye makes 3-pt shot from 25 ft
7:11.0,LA Clippers full timeout,,94-84,,
7:11.0,C. Paul enters the game for J. Smith,,94-84,,
7:11.0,B. Griffin enters the game for P. Pierce,,94-84,,
7:11.0,D. Jordan enters the game for A. Rivers,,94-84,,
7:11.0,J. Redick enters the game for L. Stephenson,,94-84,,
7:01.0,Shooting foul by N. Jokic (drawn by D. Jordan),,94-84,,
7:01.0,D. Jordan misses free throw 1 of 2,,94-84,,
7:01.0,Offensive rebound by Team,,94-84,,
7:01.0,D. Jordan misses free throw 2 of 2,,94-84,,
7:01.0,Offensive rebound by Team,,94-84,,
7:01.0,,,94-84,,Loose ball foul by D. Gallinari (drawn by B. Griffin)
6:53.0,,,94-84,,Personal foul by R. Foye (drawn by D. Jordan)
6:53.0,D. Jordan makes free throw 1 of 2,1,95-84,,
6:53.0,D. Jordan misses free throw 2 of 2,,95-84,,
6:51.0,,,95-84,,Defensive rebound by R. Foye
6:36.0,,,95-84,,N. Jokic misses 2-pt shot from 2 ft
6:35.0,Defensive rebound by D. Jordan,,95-84,,
6:23.0,C. Paul misses 2-pt shot from 19 ft,,95-84,,
6:22.0,,,95-84,,Defensive rebound by D. Gallinari
6:09.0,,,95-84,,D. Gallinari misses 2-pt shot from 19 ft
6:08.0,Defensive rebound by C. Paul,,95-84,,
5:54.0,J. Redick makes 2-pt shot from 1 ft (assist by B. Griffin),2,97-84,,
5:38.0,Personal foul by J. Crawford (drawn by D. Gallinari),,97-84,,
5:38.0,,,97-84,,D. Arthur enters the game for R. Foye
5:26.0,,,97-84,,Shooting foul by D. Jordan (drawn by N. Jokic)
5:26.0,,,97-84,,N. Jokic misses free throw 1 of 2
5:26.0,,,97-84,,Offensive rebound by Team
5:26.0,,,97-84,,E. Mudiay enters the game for J. Nelson
