time,Portland,pts.away,score,pts.home,Detroit
8:15.0,C. McCollum enters the game for A. Aminu,,85-86,,
7:53.0,D. Lillard misses 3-pt shot from 26 ft,,85-87,,
7:53.0,,,85-87,,Defensive rebound by A. Drummond
7:45.0,,,85-89,2,T. Harris makes 2-pt shot at rim (assist by I. Smith)
7:28.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,87-89,,
7:08.0,,,87-91,2,T. Harris makes 2-pt shot from 14 ft (assist by I. Smith)
6:59.0,Turnover by J. Nurkic (bad pass; steal by I. Smith),,87-91,,
6:59.0,Personal foul by M. Harkless (drawn by I. Smith),,87-91,,
6:51.0,Personal foul by C. McCollum (drawn by K. Caldwell-Pope),,87-91,,
6:51.0,,,87-92,1,K. Caldwell-Pope makes free throw 1 of 3
6:51.0,,,87-93,1,K. Caldwell-Pope makes free throw 2 of 3
6:51.0,,,87-94,1,K. Caldwell-Pope makes free throw 3 of 3
6:51.0,,,87-92,,R. Jackson enters the game for I. Smith
6:39.0,D. Lillard makes 2-pt shot from 18 ft,2,89-94,,
6:28.0,,,89-94,,T. Harris misses 2-pt shot from 5 ft
6:27.0,,,89-94,,Offensive rebound by T. Harris
6:25.0,,,89-94,,T. Harris misses 2-pt shot from 6 ft
6:23.0,,,89-94,,Offensive rebound by S. Johnson
6:16.0,,,89-94,,T. Harris misses 3-pt shot from 27 ft
6:16.0,Defensive rebound by C. McCollum,,89-94,,
6:14.0,,,89-94,,Personal foul by S. Johnson (drawn by J. Nurkic)
6:03.0,D. Lillard makes 3-pt shot from 25 ft,3,92-94,,
6:03.0,Technical foul by D. Lillard,,92-94,,
6:03.0,,,92-95,1,K. Caldwell-Pope makes technical free throw
6:03.0,,,92-95,,M. Morris enters the game for T. Harris
5:45.0,,,92-97,2,A. Drummond makes 2-pt shot from 6 ft (assist by M. Morris)
5:31.0,D. Lillard makes 2-pt shot from 1 ft,2,94-97,,
5:20.0,,,94-100,3,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by M. Morris)
5:05.0,D. Lillard misses 3-pt shot from 25 ft,,94-100,,
5:04.0,,,94-100,,Defensive rebound by S. Johnson
4:51.0,,,94-102,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:50.0,Portland full timeout,,94-102,,
4:50.0,Official timeout,,94-102,,
4:50.0,,,94-102,,I. Smith enters the game for R. Jackson
4:41.0,M. Harkless makes 2-pt shot at rim (assist by J. Nurkic),2,96-102,,
4:27.0,,,96-104,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
4:27.0,,,96-104,,Shooting foul by J. Nurkic (drawn by A. Drummond)
