time,Detroit,pts.away,score,pts.home,Miami
5:38.0,,,93-86,2,D. Williams makes 2-pt shot from 22 ft (assist by J. Richardson)
5:19.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson),3,96-86,,
4:59.0,,,96-89,3,D. Williams makes 3-pt shot from 24 ft (assist by W. Ellington)
4:36.0,T. Harris misses 2-pt shot from 2 ft,,96-89,,
4:35.0,,,96-89,,Defensive rebound by J. Richardson
4:24.0,,,96-89,,J. Johnson misses 2-pt shot from 3 ft (block by A. Drummond)
4:23.0,Defensive rebound by T. Harris,,96-89,,
4:13.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,96-89,,
4:12.0,,,96-89,,Defensive rebound by D. Williams
3:56.0,,,96-89,,D. Williams misses 3-pt shot from 24 ft
3:55.0,Defensive rebound by K. Caldwell-Pope,,96-89,,
3:53.0,,,96-89,,Personal foul by D. Williams (drawn by R. Jackson)
3:43.0,R. Jackson misses 3-pt shot from 25 ft,,96-89,,
3:42.0,Offensive rebound by Team,,96-89,,
3:41.0,,,96-89,,Loose ball foul by J. Richardson (drawn by A. Drummond)
3:31.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,98-89,,
3:31.0,Shooting foul by J. Richardson (drawn by A. Drummond),,98-89,,
3:31.0,A. Drummond misses free throw 1 of 1,,98-89,,
3:30.0,,,98-89,,Defensive rebound by D. Williams
3:21.0,,,98-91,2,J. Johnson makes 2-pt shot at rim
2:56.0,A. Drummond makes 2-pt shot from 12 ft (assist by R. Jackson),2,100-91,,
2:45.0,,,100-94,3,J. Johnson makes 3-pt shot from 25 ft
2:30.0,,,100-94,,Personal foul by J. Richardson (drawn by R. Jackson)
2:30.0,,,100-94,,Technical foul by J. Richardson (drawn by R. Jackson)
2:30.0,Official timeout,,100-94,,
2:30.0,T. Harris makes technical free throw,1,101-94,,
