time,Milwaukee,pts.away,score,pts.home,LA Clippers
7:12.0,,,79-77,,Turnover by C. Paul (bad pass; steal by M. Teletovic)
7:12.0,,,79-77,,Personal foul by C. Paul (drawn by M. Dellavedova)
7:12.0,,,79-77,,J. Redick enters the game for R. Felton
6:59.0,,,79-77,,Personal foul by J. Crawford (drawn by K. Middleton)
6:59.0,K. Middleton makes free throw 1 of 2,1,80-77,,
6:59.0,K. Middleton makes free throw 2 of 2,1,81-77,,
6:50.0,Personal foul by J. Terry (drawn by J. Redick),,81-77,,
6:46.0,,,81-77,,Shooting foul by M. Teletovic (drawn by B. Griffin)
6:46.0,,,81-77,,B. Griffin misses free throw 1 of 2
6:46.0,,,81-77,,Offensive rebound by Team
6:46.0,,,81-77,,Violation by Team (double lane)
6:46.0,Jump ball: J. Henson vs. D. Jordan (M. Teletovic gains possession),,,,Jump ball: J. Henson vs. D. Jordan (M. Teletovic gains possession)
6:46.0,,,81-77,,Turnover by D. Jordan (lane violation.)
6:19.0,K. Middleton misses 2-pt shot from 6 ft,,81-77,,
6:17.0,Offensive rebound by J. Henson,,81-77,,
6:17.0,J. Henson misses 2-pt shot from 2 ft,,81-77,,
6:15.0,,,81-77,,Defensive rebound by J. Crawford
6:07.0,,,81-77,,B. Griffin misses 2-pt shot from 1 ft
6:06.0,Defensive rebound by M. Dellavedova,,81-77,,
6:04.0,Shooting foul by J. Crawford (drawn by M. Teletovic),,81-77,,
6:04.0,M. Teletovic makes free throw 1 of 2,1,82-77,,
6:04.0,M. Teletovic makes free throw 2 of 2,1,83-77,,
5:52.0,,,83-79,2,D. Jordan makes 2-pt shot from 2 ft (assist by J. Crawford)
5:35.0,M. Teletovic misses 3-pt shot from 23 ft,,83-79,,
5:35.0,,,83-79,,Defensive rebound by Team
5:35.0,,,83-79,,LA Clippers full timeout
5:35.0,M. Brogdon enters the game for K. Middleton,,83-79,,
5:35.0,G. Antetokounmpo enters the game for J. Terry,,83-79,,
5:35.0,T. Snell enters the game for M. Teletovic,,83-79,,
5:24.0,,,83-81,2,B. Griffin makes 2-pt shot from 2 ft
5:24.0,,,83-81,,Shooting foul by J. Henson (drawn by B. Griffin)
5:24.0,,,83-82,1,B. Griffin makes free throw 1 of 1
5:11.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,85-82,,
5:11.0,,,85-82,,Shooting block foul by D. Jordan (drawn by G. Antetokounmpo)
5:11.0,G. Antetokounmpo misses free throw 1 of 1,,85-82,,
5:11.0,G. Monroe enters the game for J. Henson,,85-82,,
5:10.0,,,85-82,,Defensive rebound by D. Jordan
4:54.0,,,85-84,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
4:36.0,M. Dellavedova makes 2-pt shot from 13 ft (assist by G. Antetokounmpo),2,87-84,,
4:15.0,,,87-84,,Shooting foul by G. Antetokounmpo (drawn by B. Griffin)
4:15.0,,,87-85,1,B. Griffin makes free throw 1 of 2
4:15.0,,,87-85,,B. Griffin misses free throw 2 of 2
4:13.0,,,87-85,,Offensive rebound by D. Jordan
3:56.0,,,87-85,,C. Paul misses 2-pt shot from 16 ft
3:55.0,Defensive rebound by M. Brogdon,,87-85,,
3:40.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,90-85,,
