time,Sacramento,pts.away,score,pts.home,Boston
5:59.0,,,76-83,,I. Thomas misses 2-pt shot from 1 ft (block by M. Barnes)
5:58.0,Defensive rebound by R. Gay,,76-83,,
5:53.0,,,76-83,,Personal foul by J. Jerebko (drawn by O. Casspi)
5:46.0,D. Collison misses 3-pt shot from 26 ft,,76-83,,
5:45.0,,,76-83,,Defensive rebound by J. Jerebko
5:25.0,,,76-83,,I. Thomas misses 3-pt shot from 27 ft
5:24.0,Defensive rebound by O. Casspi,,76-83,,
5:17.0,M. Barnes misses 2-pt shot from 2 ft,,76-83,,
5:17.0,Offensive rebound by Team,,76-83,,
5:17.0,Technical foul by M. Barnes,,76-83,,
5:17.0,,,76-84,1,I. Thomas makes technical free throw
5:17.0,D. Cousins enters the game for O. Casspi,,76-84,,
5:17.0,,,76-84,,A. Horford enters the game for K. Olynyk
5:17.0,,,76-84,,A. Bradley enters the game for J. Jerebko
