time,Golden State,pts.away,score,pts.home,Detroit
7:30.0,,,89-76,,Turnover by J. Jerebko (bad pass)
7:16.0,A. Iguodala misses 2-pt shot from 21 ft,,89-76,,
7:14.0,,,89-76,,Defensive rebound by K. Caldwell-Pope
7:05.0,,,89-76,,K. Caldwell-Pope misses 2-pt shot from 18 ft
7:04.0,Defensive rebound by A. Bogut,,89-76,,
6:50.0,A. Iguodala makes 3-pt shot from 25 ft (assist by K. Thompson),3,92-76,,
6:36.0,,,92-76,,Shooting foul by A. Bogut (drawn by G. Monroe)
6:36.0,,,92-76,,G. Monroe misses free throw 1 of 2
6:36.0,,,92-76,,Offensive rebound by Team
6:36.0,,,92-76,,C. Martin enters the game for K. Caldwell-Pope
6:36.0,,,92-77,1,G. Monroe makes free throw 2 of 2
6:26.0,Turnover by K. Thompson (bad pass; steal by J. Jerebko),,92-77,,
6:17.0,,,92-77,,C. Martin misses 3-pt shot from 28 ft
6:16.0,,,92-77,,Offensive rebound by G. Monroe
6:15.0,,,92-77,,G. Monroe misses 2-pt shot at rim
6:14.0,,,92-77,,Offensive rebound by G. Monroe
6:13.0,,,92-77,,G. Monroe misses 2-pt shot at rim
6:12.0,,,92-77,,Offensive rebound by J. Jerebko
6:11.0,,,92-77,,J. Jerebko misses 2-pt shot at rim
6:10.0,Defensive rebound by S. Livingston,,92-77,,
5:59.0,S. Livingston misses 2-pt shot from 16 ft,,92-77,,
5:58.0,,,92-77,,Defensive rebound by G. Monroe
5:44.0,,,92-79,2,D. Augustin makes 2-pt shot from 22 ft
