time,Minnesota,pts.away,score,pts.home,New Orleans
8:01.0,A. Wiggins makes 2-pt shot from 1 ft,2,76-89,,
7:41.0,,,76-89,,Shooting foul by A. Wiggins (drawn by A. Ajinca)
7:41.0,,,76-90,1,A. Ajinca makes free throw 1 of 2
7:41.0,,,76-90,,L. Babbitt enters the game for A. Davis
7:41.0,,,76-91,1,A. Ajinca makes free throw 2 of 2
7:32.0,,,76-91,,Personal foul by D. Cunningham (drawn by A. Wiggins)
7:24.0,J. Hamilton makes 2-pt shot from 9 ft (assist by A. Wiggins),2,78-91,,
7:03.0,,,78-91,,N. Cole misses 2-pt shot from 17 ft
7:02.0,Defensive rebound by A. Payne,,78-91,,
6:58.0,Turnover by A. Payne (lost ball; steal by D. Cunningham),,78-91,,
6:55.0,,,78-91,,Turnover by N. Cole (bad pass)
6:41.0,A. Wiggins misses 2-pt shot from 18 ft,,78-91,,
6:40.0,,,78-91,,Defensive rebound by Team
6:18.0,,,78-91,,L. Babbitt misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by Team,,78-91,,
6:04.0,A. Wiggins misses 2-pt shot at rim (block by A. Ajinca),,78-91,,
6:03.0,,,78-91,,Defensive rebound by T. Douglas
5:49.0,,,78-93,2,L. Babbitt makes 2-pt shot from 19 ft (assist by T. Douglas)
5:48.0,Minnesota full timeout,,78-93,,
5:48.0,L. Brown enters the game for C. Budinger,,78-93,,
5:39.0,,,78-93,,Violation by T. Douglas (kicked ball)
5:33.0,Turnover by Z. LaVine (bad pass; steal by A. Ajinca),,78-93,,
5:16.0,,,78-93,,A. Ajinca misses 2-pt shot from 9 ft
5:15.0,Defensive rebound by L. Brown,,78-93,,
5:03.0,A. Wiggins makes 2-pt shot from 7 ft (assist by L. Brown),2,80-93,,
4:40.0,,,80-96,3,L. Babbitt makes 3-pt shot from 26 ft (assist by N. Cole)
4:20.0,Turnover by L. Brown (lost ball; steal by T. Douglas),,80-96,,
4:16.0,,,80-98,2,D. Cunningham makes 2-pt shot from 1 ft (assist by T. Douglas)
4:03.0,Shooting foul by T. Douglas (drawn by L. Brown),,80-98,,
4:03.0,L. Brown makes free throw 1 of 2,1,81-98,,
4:03.0,R. Hummel enters the game for J. Hamilton,,81-98,,
4:03.0,L. Brown makes free throw 2 of 2,1,82-98,,
3:43.0,,,82-100,2,N. Cole makes 2-pt shot from 1 ft
3:18.0,R. Hummel makes 2-pt shot from 16 ft,2,84-100,,
3:04.0,,,84-100,,Offensive foul by A. Ajinca
3:04.0,,,84-100,,Turnover by A. Ajinca (offensive foul)
3:04.0,A. Bennett enters the game for A. Payne,,84-100,,
2:39.0,R. Hummel misses 3-pt shot from 23 ft,,84-100,,
2:37.0,,,84-100,,Defensive rebound by A. Ajinca
2:28.0,,,84-100,,T. Douglas misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by R. Hummel,,84-100,,
2:27.0,,,84-100,,Loose ball foul by A. Ajinca (drawn by R. Hummel)
2:27.0,Official timeout,,84-100,,
2:27.0,C. Budinger enters the game for A. Wiggins,,84-100,,
2:27.0,R. Hummel makes free throw 1 of 2,1,85-100,,
2:27.0,R. Hummel makes free throw 2 of 2,1,86-100,,
2:12.0,,,86-102,2,D. Cunningham makes 2-pt shot from 20 ft (assist by T. Douglas)
1:57.0,Turnover by Z. LaVine (lost ball; steal by T. Douglas),,86-102,,
1:54.0,,,86-102,,Shooting foul by L. Brown (drawn by N. Cole)
1:54.0,,,86-103,1,N. Cole makes free throw 1 of 2
1:54.0,,,86-104,1,N. Cole makes free throw 2 of 2
1:36.0,L. Brown misses 3-pt shot from 25 ft,,86-104,,
1:34.0,,,86-104,,Defensive rebound by A. Ajinca
1:22.0,,,86-106,2,A. Ajinca makes 2-pt shot from 2 ft (assist by L. Babbitt)
1:13.0,Z. LaVine misses 2-pt shot from 9 ft,,86-106,,
1:12.0,,,86-106,,Defensive rebound by A. Ajinca
1:05.0,,,86-106,,Shooting foul by L. Brown (drawn by A. Ajinca)
1:05.0,,,86-107,1,A. Ajinca makes free throw 1 of 2
1:05.0,,,86-108,1,A. Ajinca makes free throw 2 of 2
