time,Indiana,pts.away,score,pts.home,Memphis
7:41.0,Shooting foul by J. Adams (drawn by R. Stuckey),,67-79,,
7:41.0,R. Stuckey makes free throw 1 of 2,1,68-79,,
7:41.0,R. Stuckey makes free throw 2 of 2,1,69-79,,
7:26.0,,,69-79,,K. Koufos misses 2-pt shot from 5 ft
7:25.0,Defensive rebound by L. Scola,,69-79,,
7:19.0,C. Miles misses 2-pt shot from 1 ft,,69-79,,
7:18.0,,,69-79,,Defensive rebound by N. Calathes
7:14.0,,,69-79,,V. Carter misses 3-pt shot from 25 ft
7:12.0,,,69-79,,Offensive rebound by J. Green
6:58.0,,,69-79,,Turnover by J. Green (bad pass)
6:51.0,Indiana full timeout,,69-79,,
6:51.0,,,69-79,,Z. Randolph enters the game for V. Carter
6:51.0,R. Hibbert enters the game for C. Miles,,69-79,,
6:51.0,G. Hill enters the game for I. Mahinmi,,69-79,,
6:38.0,Shooting foul by Z. Randolph (drawn by L. Scola),,69-79,,
6:38.0,L. Scola misses free throw 1 of 2,,69-79,,
6:38.0,Offensive rebound by Team,,69-79,,
6:38.0,L. Scola makes free throw 2 of 2,1,70-79,,
6:16.0,,,70-79,,Z. Randolph misses 2-pt shot from 17 ft
6:15.0,,,70-79,,Offensive rebound by J. Adams
6:13.0,,,70-79,,J. Adams misses 2-pt shot from 5 ft (block by R. Stuckey)
6:13.0,,,70-79,,Offensive rebound by Team
6:13.0,,,70-79,,Turnover by Team (shot clock)
6:01.0,R. Stuckey makes 2-pt shot from 9 ft,2,72-79,,
5:45.0,,,72-79,,N. Calathes misses 2-pt shot from 10 ft
5:42.0,,,72-79,,Offensive rebound by K. Koufos
5:20.0,,,72-79,,Z. Randolph misses 2-pt shot from 4 ft
5:18.0,,,72-79,,Offensive rebound by N. Calathes
5:16.0,,,72-79,,N. Calathes misses 2-pt shot from 7 ft
5:13.0,,,72-79,,Offensive rebound by Z. Randolph
5:13.0,,,72-81,2,Z. Randolph makes 2-pt shot at rim
4:57.0,,,72-81,,Personal foul by N. Calathes (drawn by R. Stuckey)
4:57.0,R. Stuckey makes free throw 1 of 2,1,73-81,,
4:57.0,,,73-81,,M. Gasol enters the game for K. Koufos
4:57.0,C. Miles enters the game for S. Hill,,73-81,,
4:57.0,D. West enters the game for L. Scola,,73-81,,
4:57.0,R. Stuckey makes free throw 2 of 2,1,74-81,,
4:45.0,,,74-83,2,J. Green makes 2-pt shot from 16 ft
4:30.0,Turnover by R. Hibbert (lost ball; steal by M. Gasol),,74-83,,
4:16.0,,,74-85,2,M. Gasol makes 2-pt shot from 15 ft (assist by N. Calathes)
3:56.0,D. West misses 2-pt shot from 20 ft,,74-85,,
3:53.0,Offensive rebound by R. Hibbert,,74-85,,
3:44.0,R. Stuckey makes 2-pt shot from 20 ft,2,76-85,,
3:20.0,,,76-87,2,Z. Randolph makes 2-pt shot at rim (assist by J. Adams)
3:02.0,C. Miles makes 3-pt shot from 23 ft (assist by G. Hill),3,79-87,,
2:32.0,,,79-87,,Turnover by Z. Randolph (lost ball; steal by R. Stuckey)
2:23.0,Turnover by G. Hill (bad pass; steal by J. Green),,79-87,,
2:19.0,,,79-89,2,J. Green makes 2-pt shot at rim
2:19.0,,,79-89,,Shooting foul by G. Hill (drawn by J. Green)
2:19.0,,,79-89,,Memphis full timeout
2:19.0,,,79-89,,C. Lee enters the game for J. Adams
2:19.0,,,79-90,1,J. Green makes free throw 1 of 1
2:05.0,R. Hibbert makes 2-pt shot from 10 ft (assist by G. Hill),2,81-90,,
1:39.0,,,81-92,2,M. Gasol makes 2-pt shot from 10 ft
1:19.0,D. West misses 3-pt shot from 25 ft,,81-92,,
1:18.0,,,81-92,,Defensive rebound by M. Gasol
1:02.0,,,81-92,,Shooting foul by R. Hibbert (drawn by M. Gasol)
1:02.0,,,81-92,,M. Gasol misses free throw 1 of 2
1:02.0,,,81-92,,Offensive rebound by Team
1:02.0,,,81-93,1,M. Gasol makes free throw 2 of 2
1:02.0,Indiana full timeout,,81-93,,
0:53.0,C. Miles misses 3-pt shot from 25 ft (block by J. Green),,81-93,,
0:51.0,,,81-93,,Defensive rebound by Z. Randolph
0:49.0,Personal take foul by G. Hill (drawn by N. Calathes),,81-93,,
0:49.0,,,81-93,,N. Calathes misses free throw 1 of 2
0:49.0,,,81-93,,Offensive rebound by Team
0:49.0,,,81-93,,J. Adams enters the game for J. Green
0:49.0,,,81-93,,J. Green enters the game for Z. Randolph
0:49.0,D. Rudez enters the game for R. Hibbert,,81-93,,
0:49.0,,,81-94,1,N. Calathes makes free throw 2 of 2
0:49.0,Indiana full timeout,,81-94,,
0:45.0,G. Hill misses 3-pt shot from 25 ft,,81-94,,
0:42.0,,,81-94,,Defensive rebound by C. Lee
0:38.0,Personal take foul by G. Hill (drawn by C. Lee),,81-94,,
0:38.0,,,81-95,1,C. Lee makes free throw 1 of 2
0:38.0,,,81-95,,K. Koufos enters the game for M. Gasol
