time,Atlanta,pts.away,score,pts.home,Brooklyn
8:42.0,Turnover by D. Schroder (bad pass; steal by B. Bogdanovic),,62-76,,
8:25.0,,,62-76,,B. Bogdanovic misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by K. Bazemore,,62-76,,
8:13.0,A. Horford misses 2-pt shot from 17 ft,,62-76,,
8:12.0,,,62-76,,Defensive rebound by J. Johnson
7:57.0,,,62-76,,B. Lopez misses 2-pt shot from 2 ft (block by A. Horford)
7:56.0,Defensive rebound by A. Horford,,62-76,,
7:47.0,D. Schroder misses 2-pt shot from 2 ft,,62-76,,
7:46.0,Offensive rebound by M. Scott,,62-76,,
7:45.0,M. Scott makes 2-pt shot from 1 ft,2,64-76,,
7:26.0,,,64-76,,B. Lopez misses 2-pt shot from 19 ft
7:25.0,Defensive rebound by K. Bazemore,,64-76,,
7:15.0,K. Korver misses 3-pt shot from 23 ft,,64-76,,
7:14.0,,,64-76,,Defensive rebound by B. Lopez
6:58.0,,,64-76,,B. Lopez misses 2-pt shot from 2 ft
6:57.0,,,64-76,,Offensive rebound by B. Lopez
6:56.0,,,64-76,,B. Lopez misses 2-pt shot from 2 ft
6:55.0,Defensive rebound by M. Scott,,64-76,,
6:48.0,M. Scott makes 2-pt shot from 2 ft (assist by A. Horford),2,66-76,,
6:38.0,,,66-76,,Brooklyn full timeout
6:38.0,D. Carroll enters the game for K. Bazemore,,66-76,,
6:38.0,J. Teague enters the game for D. Schroder,,66-76,,
6:38.0,P. Millsap enters the game for M. Scott,,66-76,,
6:38.0,,,66-76,,T. Young enters the game for B. Bogdanovic
6:21.0,,,66-76,,J. Johnson misses 2-pt shot from 16 ft
6:20.0,Defensive rebound by P. Millsap,,66-76,,
6:14.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,68-76,,
5:46.0,,,68-76,,B. Lopez misses 2-pt shot from 15 ft
5:45.0,Defensive rebound by P. Millsap,,68-76,,
