time,LA Lakers,pts.away,score,pts.home,Atlanta
4:28.0,,,99-94,,A. Horford enters the game for P. Antic
4:28.0,,,99-95,1,J. Teague makes free throw 2 of 2
4:16.0,K. Bryant misses 3-pt shot from 25 ft,,99-95,,
4:13.0,Offensive rebound by J. Hill,,99-95,,
4:10.0,K. Bryant makes 2-pt shot at rim,2,101-95,,
3:59.0,,,101-95,,Turnover by J. Teague (traveling)
3:45.0,K. Bryant misses 2-pt shot from 21 ft,,101-95,,
3:42.0,Offensive rebound by N. Young,,101-95,,
3:39.0,N. Young misses 2-pt shot from 17 ft,,101-95,,
3:38.0,Offensive rebound by J. Hill,,101-95,,
3:38.0,J. Hill makes 2-pt shot at rim,2,103-95,,
3:26.0,,,103-97,2,J. Teague makes 2-pt shot at rim
3:05.0,K. Bryant misses 2-pt shot from 18 ft,,103-97,,
3:03.0,,,103-97,,Defensive rebound by P. Millsap
2:54.0,,,103-100,3,P. Millsap makes 3-pt shot from 25 ft
2:52.0,LA Lakers full timeout,,103-100,,
2:31.0,C. Boozer misses 2-pt shot from 1 ft,,103-100,,
2:30.0,Offensive rebound by Team,,103-100,,
2:25.0,K. Bryant makes 2-pt shot from 5 ft,2,105-100,,
1:59.0,,,105-100,,J. Teague misses 2-pt shot from 3 ft
1:56.0,Defensive rebound by J. Hill,,105-100,,
1:44.0,J. Hill misses 2-pt shot at rim (block by P. Millsap),,105-100,,
1:44.0,,,105-100,,Defensive rebound by Team
1:44.0,Jump ball: J. Hill vs. P. Millsap (K. Korver gains possession),,,,Jump ball: J. Hill vs. P. Millsap (K. Korver gains possession)
1:42.0,Clear path foul by J. Lin,,105-100,,
1:42.0,,,105-101,1,K. Korver makes clear path free throw 1 of 2
1:42.0,,,105-102,1,K. Korver makes clear path free throw 2 of 2
1:27.0,,,105-102,,A. Horford misses 2-pt shot from 20 ft
1:25.0,Defensive rebound by C. Boozer,,105-102,,
1:11.0,Shooting foul by T. Sefolosha (drawn by K. Bryant),,105-102,,
1:11.0,K. Bryant makes 2-pt shot from 20 ft,2,107-102,,
1:11.0,K. Bryant makes free throw 1 of 1,1,108-102,,
1:04.0,,,108-102,,P. Millsap misses 3-pt shot from 25 ft
1:03.0,,,108-102,,Offensive rebound by Team
1:03.0,Loose ball foul by J. Lin (drawn by J. Teague),,108-102,,
1:03.0,,,108-103,1,J. Teague makes free throw 1 of 2
1:03.0,,,108-104,1,J. Teague makes free throw 2 of 2
0:45.0,Shooting foul by K. Korver (drawn by N. Young),,108-104,,
0:45.0,N. Young misses free throw 1 of 3,,108-104,,
0:45.0,Offensive rebound by Team,,108-104,,
0:45.0,N. Young makes free throw 2 of 3,1,109-104,,
0:45.0,W. Johnson enters the game for J. Lin,,109-104,,
0:45.0,N. Young misses free throw 3 of 3,,109-104,,
0:44.0,,,109-104,,Defensive rebound by A. Horford
0:44.0,,,109-104,,Atlanta full timeout
