time,Minnesota,pts.away,score,pts.home,Detroit
2:37.0,,,101-88,1,A. Tolliver makes free throw 1 of 1
2:31.0,,,101-88,,Violation by A. Drummond (def goaltending)
2:31.0,N. Pekovic makes 2-pt shot at rim (assist by T. Young),2,103-88,,
2:18.0,,,103-88,,K. Singler misses 3-pt shot from 26 ft
2:17.0,,,103-88,,Offensive rebound by A. Drummond
2:09.0,,,103-88,,K. Caldwell-Pope misses 2-pt shot from 18 ft
2:08.0,,,103-88,,Offensive rebound by A. Drummond
2:00.0,,,103-91,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by D. Augustin)
1:50.0,A. Wiggins misses 2-pt shot from 3 ft,,103-91,,
1:49.0,,,103-91,,Defensive rebound by K. Caldwell-Pope
1:47.0,Personal foul by A. Wiggins (drawn by K. Caldwell-Pope),,103-91,,
1:47.0,,,103-92,1,K. Caldwell-Pope makes free throw 1 of 2
1:47.0,,,103-92,,K. Caldwell-Pope misses free throw 2 of 2
1:47.0,Defensive rebound by Team,,103-92,,
1:23.0,N. Pekovic makes 2-pt shot from 7 ft (assist by M. Williams),2,105-92,,
1:16.0,,,105-92,,Shooting foul by T. Young (drawn by A. Tolliver)
1:16.0,,,105-93,1,A. Tolliver makes free throw 1 of 3
1:16.0,,,105-94,1,A. Tolliver makes free throw 2 of 3
