time,Boston,pts.away,score,pts.home,Detroit
5:50.0,Boston full timeout,,79-70,,
5:50.0,A. Baynes enters the game for S. Larkin,,79-70,,
5:50.0,A. Horford enters the game for D. Theis,,79-70,,
5:31.0,K. Irving misses 2-pt shot from 5 ft,,79-70,,
5:26.0,,,79-70,,Defensive rebound by A. Bradley
5:20.0,,,79-70,,I. Smith misses 2-pt shot from 3 ft
5:18.0,Defensive rebound by A. Horford,,79-70,,
5:09.0,A. Horford misses 3-pt shot from 25 ft,,79-70,,
5:06.0,,,79-70,,Defensive rebound by A. Drummond
4:55.0,,,79-73,3,T. Harris makes 3-pt shot from 24 ft
4:33.0,A. Baynes misses 3-pt shot from 23 ft,,79-73,,
4:27.0,Offensive rebound by A. Horford,,79-73,,
4:27.0,K. Irving misses 3-pt shot from 22 ft,,79-73,,
4:27.0,,,79-73,,Defensive rebound by A. Drummond
4:20.0,,,79-75,2,I. Smith makes 2-pt shot from 1 ft
4:19.0,Boston full timeout,,79-75,,
4:19.0,J. Brown enters the game for T. Rozier,,79-75,,
4:00.0,K. Irving misses 2-pt shot from 9 ft (block by A. Bradley),,79-75,,
3:57.0,,,79-75,,Defensive rebound by A. Drummond
3:51.0,,,79-75,,T. Harris misses 3-pt shot from 24 ft
3:51.0,Defensive rebound by K. Irving,,79-75,,
3:29.0,J. Brown makes 2-pt shot from 5 ft (assist by A. Horford),2,81-75,,
3:12.0,,,81-75,,T. Harris misses 2-pt shot from 11 ft
3:06.0,,,81-75,,Offensive rebound by A. Drummond
3:06.0,,,81-77,2,A. Drummond makes 2-pt shot at rim
2:56.0,A. Horford makes 3-pt shot from 25 ft (assist by K. Irving),3,84-77,,
2:41.0,,,84-77,,A. Bradley misses 3-pt shot from 24 ft
2:38.0,Defensive rebound by J. Tatum,,84-77,,
2:22.0,A. Baynes misses 2-pt shot from 13 ft,,84-77,,
2:19.0,,,84-77,,Defensive rebound by I. Smith
2:11.0,,,84-77,,Shooting foul by A. Baynes (drawn by A. Drummond)
2:11.0,,,84-78,1,A. Drummond makes free throw 1 of 2
2:11.0,M. Smart enters the game for A. Baynes,,84-78,,
2:11.0,,,84-79,1,A. Drummond makes free throw 2 of 2
1:55.0,J. Tatum makes 3-pt shot from 25 ft (assist by A. Horford),3,87-79,,
