time,Detroit,pts.away,score,pts.home,New York
3:08.0,,,107-101,2,K. O'Quinn makes 2-pt shot from 1 ft
2:47.0,Shooting foul by K. O'Quinn (drawn by A. Drummond),,107-101,,
2:47.0,A. Drummond makes free throw 1 of 2,1,108-101,,
2:47.0,S. Johnson enters the game for L. Kennard,,108-101,,
2:47.0,A. Drummond makes free throw 2 of 2,1,109-101,,
2:33.0,,,109-101,,T. Burke misses 3-pt shot from 28 ft
2:33.0,Defensive rebound by A. Drummond,,109-101,,
2:24.0,I. Smith makes 2-pt shot from 1 ft,2,111-101,,
2:17.0,,,111-104,3,T. Hardaway makes 3-pt shot from 22 ft (assist by T. Burke)
1:59.0,S. Johnson misses 3-pt shot from 22 ft,,111-104,,
1:57.0,Offensive rebound by A. Drummond,,111-104,,
1:57.0,A. Drummond makes 2-pt shot at rim,2,113-104,,
1:45.0,,,113-104,,T. Hardaway misses 2-pt shot from 9 ft
1:39.0,Defensive rebound by I. Smith,,113-104,,
1:23.0,I. Smith misses 2-pt shot from 19 ft,,113-104,,
1:22.0,,,113-104,,Defensive rebound by M. Beasley
1:22.0,,,113-104,,New York full timeout
1:18.0,Personal foul by A. Drummond (drawn by T. Hardaway),,113-104,,
1:13.0,,,113-107,3,T. Burke makes 3-pt shot from 25 ft (assist by T. Hardaway)
0:55.0,I. Smith misses 3-pt shot from 23 ft,,113-107,,
0:53.0,,,113-107,,Defensive rebound by T. Hardaway
0:48.0,,,113-107,,T. Hardaway misses 2-pt shot from 1 ft
